ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
36,19610708,054902,-6.2000000000000002,-77.099999999999994,15,5.7999999999999998,20223006
37,19610728,010531,-2.2869999999999999,-77.034999999999997,142,6.5999999999999996,20223006
38,19610817,174943,-17.399999999999999,-72.700000000000003,46,5.5999999999999996,20223006
39,19610819,050949,-10.800000000000001,-71,649,7,20223006
40,19610820,091011,-11.5,-70.599999999999994,630,6.0999999999999996,20223006
41,19610828,062819,-15.199999999999999,-70.200000000000003,185,5.2999999999999998,20223006
42,19610828,212716,-14.1,-73.900000000000006,100,4.7999999999999998,20223006
43,19610830,034528,-3.8999999999999999,-77.799999999999997,33,5.5,20223006
44,19610831,014839,-10.4,-70.700000000000003,605,7.0999999999999996,20223006
45,19610831,015708,-10.5,-70.700000000000003,629,7.5,20223006
46,19610906,153020,-10.9,-79.099999999999994,45,4.7999999999999998,20223006
47,19610912,111825,-11.1,-70.599999999999994,543,5.5999999999999996,20223006
48,19611011,122835,-13.300000000000001,-75.5,137,5.2999999999999998,20223006
49,19611108,193000,-13.98,-71.900000000000006,20,5.2000000000000002,20223006
50,19611110,020734,-14.300000000000001,-71.900000000000006,68,5.5999999999999996,20223006
51,19611123,111728,-5.5999999999999996,-80.299999999999997,61,6.0999999999999996,20223006
52,19611129,203809,-7.2000000000000002,-76.400000000000006,33,5.7999999999999998,20223006
53,19611209,035855,-14.9,-75.700000000000003,39,5.2999999999999998,20223006
54,19611224,142531,-5.7000000000000002,-80.900000000000006,33,6.0999999999999996,20223006
55,19620102,052341,-18.100000000000001,-70.599999999999994,77,5.2999999999999998,20223006
56,19620125,072604,-15.699999999999999,-69.599999999999994,190,4.5999999999999996,20223006
57,19620301,021237,-15.699999999999999,-74.299999999999997,64,5.9000000000000004,20223006
58,19620312,015237,-13.9,-72.599999999999994,91,5,20223006
59,19620319,210416,-16.800000000000001,-73.5,33,5.0999999999999996,20223006
60,19620322,205036,-14.9,-70.700000000000003,119,5.0999999999999996,20223006
61,19620418,191437,-10,-79,39,6.7000000000000002,20223006
62,19620715,144350,-9.3000000000000007,-78.900000000000006,80,5.9000000000000004,20223006
63,19620725,060515,-14.300000000000001,-75.5,100,5.2000000000000002,20223006
64,19620725,065556,-16.300000000000001,-75,33,5.2999999999999998,20223006
65,19620824,131537,-17.5,-70.400000000000006,92,5.7000000000000002,20223006
66,19620830,062228,-17.399999999999999,-69.799999999999997,145,5.2999999999999998,20223006
67,19620909,032156,-15.6,-73.400000000000006,98,5.2999999999999998,20223006
68,19620920,092526,-15.5,-76.099999999999994,33,5.2000000000000002,20223006
69,19620922,164531,-15.5,-73.099999999999994,137,5.2000000000000002,20223006
70,19620928,221452,-13.800000000000001,-76.700000000000003,61,4.7999999999999998,20223006
71,19620929,075820,-17.100000000000001,-70.5,33,6,20223006
72,19621020,063329,-17.199999999999999,-69.700000000000003,153,5.2999999999999998,20223006
73,19621108,000210,-15.1,-75.400000000000006,44,5.2999999999999998,20223006
74,19621115,232515,-8.6999999999999993,-79.799999999999997,45,6.2000000000000002,20223006
75,19621123,003004,-15.262,-75.512,20,5.9000000000000004,20223006
76,19621224,174305,-8.4000000000000004,-78.700000000000003,80,5.0999999999999996,20223006
77,19630116,202051,-3.8999999999999999,-76.799999999999997,102,6,20223006
78,19630117,042219,-10.699999999999999,-79,21,4.9000000000000004,20223006
79,19630117,193059,-8.3000000000000007,-75.099999999999994,124,5.7999999999999998,20223006
80,19630122,083235,-11.6,-75,47,4.9000000000000004,20223006
81,19630203,111809,-9.0999999999999996,-77.099999999999994,33,4.5999999999999996,20223006
82,19630216,213222,-8.5,-80.099999999999994,33,5.2000000000000002,20223006
83,19630224,053819,-15.1,-72.5,97,5.2999999999999998,20223006
84,19630227,110042,-15.1,-73.599999999999994,105,5.5,20223006
85,19630304,154302,-4.5,-81.599999999999994,23,5.5999999999999996,20223006
86,19630304,183151,-15.800000000000001,-75.299999999999997,40,5.2999999999999998,20223006
87,19630305,070500,-4.5,-81.5,22,5.7999999999999998,20223006
88,19630331,044559,-6.5999999999999996,-81.200000000000003,31,5.5,20223006
89,19630331,055100,-10.800000000000001,-78.5,32,5.7999999999999998,20223006
90,19630403,013559,-4.7999999999999998,-78.400000000000006,33,4.9000000000000004,20223006
91,19630404,082626,-16.300000000000001,-73,95,5,20223006
92,19630406,004300,-18,-69.900000000000006,159,4.7999999999999998,20223006
93,19630413,022058,-6.2000000000000002,-76.5,125,6.9000000000000004,20223006
94,19630428,052205,-11.699999999999999,-78.099999999999994,10,5.2999999999999998,20223006
95,19630430,184307,-8.3000000000000007,-80,9,5.4000000000000004,20223006
96,19630510,130522,-8,-74.400000000000006,143,4.9000000000000004,20223006
97,19630517,141105,-14.1,-73.900000000000006,94,5.4000000000000004,20223006
98,19630526,124346,-16.899999999999999,-72.400000000000006,47,5.0999999999999996,20223006
99,19630526,191339,-5.5,-81.200000000000003,33,5.0999999999999996,20223006
100,19630618,153955,-5.2999999999999998,-78.5,33,4.9000000000000004,20223006
101,19630621,121313,-4.9000000000000004,-81.200000000000003,45,4.5999999999999996,20223006
102,19630624,012103,-15.300000000000001,-69.400000000000006,179,4.5,20223006
103,19630625,104531,-15.9,-75.200000000000003,33,4.7000000000000002,20223006
104,19630627,131515,-11.699999999999999,-77.599999999999994,33,4.7000000000000002,20223006
105,19630630,110949,-7.2999999999999998,-75.200000000000003,43,4.7999999999999998,20223006
106,19630630,124356,-8.8000000000000007,-77.900000000000006,94,4.7000000000000002,20223006
107,19630705,054813,-11.6,-77.5,55,6,20223006
108,19630705,142924,-3.2000000000000002,-77.799999999999997,65,4.7000000000000002,20223006
109,19630710,114735,-16.300000000000001,-72.200000000000003,90,4.5999999999999996,20223006
110,19630722,163322,-12.5,-73.700000000000003,79,4.9000000000000004,20223006
111,19630726,234826,-9.6999999999999993,-78.5,62,5.2999999999999998,20223006
112,19630801,183026,-15,-71.799999999999997,100,4.5999999999999996,20223006
113,19630804,120724,-4.0999999999999996,-80.900000000000006,34,5.0999999999999996,20223006
114,19630805,084659,-9.9000000000000004,-79,31,5.2000000000000002,20223006
115,19630815,143601,-10,-78.599999999999994,80,4.9000000000000004,20223006
116,19630815,172506,-13.800000000000001,-69.299999999999997,543,7.7999999999999998,20223006
117,19630818,230754,-14.199999999999999,-71.900000000000006,31,5,20223006
118,19630827,125655,-17.699999999999999,-70.099999999999994,158,4.7000000000000002,20223006
119,19630829,153031,-7.0999999999999996,-81.599999999999994,23,7,20223006
120,19630831,103030,-15.9,-74.400000000000006,53,4.5999999999999996,20223006
121,19630902,041018,-14.1,-76.400000000000006,41,4.9000000000000004,20223006
122,19630910,073608,-14.6,-73.599999999999994,176,4.5,20223006
123,19630917,055436,-10.782999999999999,-78.269000000000005,61,6.7000000000000002,20223006
124,19630920,040036,-11.300000000000001,-77.599999999999994,33,4.9000000000000004,20223006
125,19630924,163016,-10.754,-78.239000000000004,80,6.2000000000000002,20223006
126,19631006,121047,-9,-75,82,4.5999999999999996,20223006
127,19631007,124353,-12.9,-76.799999999999997,69,5.7000000000000002,20223006
128,19631019,021417,-18.300000000000001,-71.200000000000003,78,4.9000000000000004,20223006
129,19631027,074526,-14.699999999999999,-71.700000000000003,121,4.7000000000000002,20223006
130,19631028,025030,-13.6,-76.900000000000006,38,4.5999999999999996,20223006
131,19631030,011731,-4.7999999999999998,-77.900000000000006,20,5.5999999999999996,20223006
132,19631031,231915,-4.9000000000000004,-77.700000000000003,60,4.9000000000000004,20223006
133,19631102,160713,-12.5,-74.700000000000003,105,4.7999999999999998,20223006
134,19631103,031012,-3.5,-77.799999999999997,18,6.2000000000000002,20223006
135,19631103,042448,-4.2999999999999998,-78.299999999999997,146,4.7000000000000002,20223006
136,19631103,073810,-15.6,-73.299999999999997,112,5.2000000000000002,20223006
137,19631103,120228,-3.7000000000000002,-78.299999999999997,33,4.9000000000000004,20223006
138,19631104,032930,-15,-75.799999999999997,52,4.5,20223006
139,19631106,010107,-12.800000000000001,-73.900000000000006,86,4.9000000000000004,20223006
140,19631106,012846,-4.2000000000000002,-77.700000000000003,170,4.5999999999999996,20223006
141,19631106,183325,-16.699999999999999,-69.700000000000003,174,5.0999999999999996,20223006
142,19631108,192254,-3.7000000000000002,-78.200000000000003,33,4.9000000000000004,20223006
143,19631109,211532,-9.1270000000000007,-71.483000000000004,591,7.5999999999999996,20223006
144,19631110,010039,-8.9760000000000009,-71.171000000000006,594,6.2999999999999998,20223006
145,19631112,122645,-15.800000000000001,-72.400000000000006,33,4.5,20223006
146,19631115,001852,-4.7000000000000002,-76.799999999999997,152,4.7999999999999998,20223006
147,19631118,071750,-16.5,-74.5,54,4.7999999999999998,20223006
148,19631119,223658,-18.600000000000001,-72.200000000000003,33,4.9000000000000004,20223006
149,19631127,021941,-16.600000000000001,-72.099999999999994,79,5.2999999999999998,20223006
150,19631129,015845,-15.1,-73.700000000000003,124,5.0999999999999996,20223006
151,19631204,031307,-8.3000000000000007,-81.099999999999994,33,5,20223006
152,19631204,042122,-7.0999999999999996,-80.400000000000006,45,4.9000000000000004,20223006
153,19631206,181432,-7.0999999999999996,-80.5,33,4.9000000000000004,20223006
154,19631210,072636,-8.6999999999999993,-79.799999999999997,33,4.9000000000000004,20223006
155,19631218,014213,-7.4000000000000004,-76,33,4.5,20223006
156,19631219,145443,-8.3000000000000007,-80.799999999999997,33,4.7999999999999998,20223006
157,19631219,170407,-9.6999999999999993,-79.099999999999994,56,5.4000000000000004,20223006
158,19631220,104804,-5.2000000000000002,-80.799999999999997,55,5.5,20223006
159,19631224,024042,-6.5999999999999996,-81.439999999999998,13,4.7999999999999998,20223006
160,19631227,000959,-13.4,-72.700000000000003,42,4.5999999999999996,20223006
161,19631230,162048,-18.300000000000001,-70.099999999999994,150,4.5999999999999996,20223006
162,19640103,132751,-5.2999999999999998,-76,106,4.7000000000000002,20223006
163,19640105,183356,-7.9800000000000004,-74.349999999999994,147,5.5,20223006
164,19640110,053704,-17.52,-69.790000000000006,167,4.7000000000000002,20223006
165,19640112,142153,-11.710000000000001,-74.719999999999999,152,4.7000000000000002,20223006
